zipcode,state,totalValidRegistrations,ihpReferrals,ihpEligible,ihpAmount,FIP_disaster_count,average_project,approved_rate,pop_total,pop_white,pop_black,pop_latino,median_income,application_per_thousand,approval_per_thousand,pct_black,pct_white,pct_latino,non_white
70071,LA,3423.0,3162.0,1668.0,5061206.5600000005,294.0,3034.2964988009594,0.4872918492550394,3272.0,1576.0,1696.0,92.0,27121.0,0.0010461491442542788,0.0005097799511002446,0.5183374083129584,0.48166259168704156,0.028117359413202935,0.5183374083129584
70072,LA,81034.0,72841.0,45515.0,177768510.57999998,1035.0,3905.7126349555087,0.5616778142508083,55967.0,26927.0,21201.0,4690.0,27626.0,0.0014478889345507172,0.0008132470920363785,0.3788125145174835,0.48112280450980044,0.08379938177854808,0.5188771954901996
70073,LA,25.0,18.0,15.0,99722.53,46.0,6648.1686666666665,0.6,,,,,,,,,,,
70074,LA,5.0,5.0,4.0,9443.22,134.0,2360.805,0.8,,,,,,,,,,,
70075,LA,8382.0,7881.0,5522.0,39590700.88,500.0,7169.6307279971015,0.6587926509186351,5953.0,4957.0,398.0,698.0,25942.0,0.0014080295649252477,0.0009275995296489166,0.06685704686712582,0.8326894003023686,0.11725180581219553,0.16731059969763146
70076,LA,584.0,544.0,296.0,1310621.28,222.0,4427.774594594594,0.5068493150684932,194.0,9.0,185.0,0.0,43440.0,0.0030103092783505155,0.0015257731958762885,0.9536082474226805,0.04639175257731959,0.0,0.9536082474226805
70078,LA,590.0,525.0,263.0,855506.15,183.0,3252.8750950570343,0.4457627118644068,,,,,,,,,,,
70079,LA,3190.0,2897.0,1769.0,3857092.3,267.0,2180.38004522329,0.5545454545454546,2993.0,2831.0,74.0,0.0,33358.0,0.0010658202472435684,0.0005910457734714334,0.024724356832609422,0.9458737053123956,0.0,0.05412629468760441
70080,LA,1687.0,1506.0,946.0,2895113.41,172.0,3060.373583509514,0.5607587433313574,1568.0,1427.0,0.0,37.0,51169.0,0.0010758928571428573,0.0006033163265306122,0.0,0.9100765306122449,0.023596938775510203,0.0899234693877551
70081,LA,40.0,31.0,23.0,128152.17,89.0,5571.83347826087,0.575,,,,,,,,,,,
70082,LA,1150.0,1063.0,682.0,7014364.159999999,167.0,10284.991436950146,0.5930434782608696,396.0,0.0,396.0,0.0,10717.0,0.002904040404040404,0.0017222222222222224,1.0,0.0,0.0,1.0
70083,LA,7281.0,6770.0,4399.0,40574236.72,480.0,9223.51368947488,0.6041752506523829,2738.0,506.0,1516.0,7.0,21244.0,0.002659240321402484,0.0016066471877282688,0.5536888239590942,0.1848064280496713,0.002556610664718773,0.8151935719503287
70084,LA,9035.0,8185.0,4402.0,17342775.63,300.0,3939.749120854157,0.4872163807415606,6001.0,2212.0,3449.0,369.0,23646.0,0.0015055824029328445,0.0007335444092651225,0.5747375437427096,0.3686052324612565,0.06148975170804866,0.6313947675387436
