pop_total,pop_white,pop_black,pop_latino,median_income,state,zip code tabulation area,zipcode
49367,26025,2583,42249,21122,25,01841,01841
25002,13705,1711,17380,26952,25,01843,01843
50282,37487,2158,14837,33274,25,01844,01844
30842,26477,1107,2332,46143,25,01845,01845
16151,10676,2640,4384,24773,25,01850,01850
30686,13704,1917,3780,30512,25,01851,01851
35532,25507,2555,6374,32110,25,01852,01852
28937,17962,1822,5594,21775,25,01854,01854
6890,6665,16,166,40663,25,01860,01860
10623,8246,966,791,38901,25,01862,01862
9372,8102,126,417,50463,25,01863,01863
15581,14150,202,319,53523,25,01864,01864
25077,23284,89,761,57083,25,01867,01867
30878,28345,737,690,46655,25,01876,01876
12443,10912,111,556,47016,25,01879,01879
26720,24977,449,896,49155,25,01880,01880
24342,18868,209,369,59136,25,01886,01886
23377,20414,949,232,47658,25,01887,01887
22738,18399,64,481,72251,25,01890,01890
2135,806,297,1110,21774,25,01901,01901
49641,20224,8185,23929,25739,25,01902,01902
17294,13202,824,4855,38847,25,01904,01904
24580,11203,3496,10201,29986,25,01905,01905
28222,25598,594,2439,38284,25,01906,01906
15278,14209,296,375,51749,25,01907,01907
3502,3358,0,53,51419,25,01908,01908
17434,16759,99,436,41542,25,01913,01913
41885,38559,887,2145,37157,25,01915,01915
8282,7830,0,196,71353,25,01921,01921
3910,3588,54,94,43267,25,01922,01922
27406,25105,673,1368,40960,25,01923,01923
3745,3707,0,11,44289,25,01929,01929
30162,28236,502,737,36019,25,01930,01930
180,180,0,26,,25,01937,01937
13963,13181,301,581,42156,25,01938,01938
13474,12433,182,350,54282,25,01940,01940
5383,5310,0,82,56267,25,01944,01944
20500,19597,335,1017,53405,25,01945,01945
9872,9172,145,610,39797,25,01949,01949
18077,17015,310,509,56361,25,01950,01950
3150,3029,19,116,51917,25,01951,01951
9379,8985,67,335,38888,25,01952,01952
52628,47285,2001,5234,37758,25,01960,01960
7231,7012,4,52,41994,25,01966,01966
6372,6113,74,51,42146,25,01969,01969
43033,34055,2785,7710,33652,25,01970,01970
8031,7398,21,120,45164,25,01982,01982
6568,6318,9,110,53664,25,01983,01983
5240,4842,141,283,23474,25,01984,01984
4631,4577,0,122,51149,25,01985,01985
17108,16114,319,680,44819,25,02019,02019
23369,19396,1225,954,52522,25,02021,02021
8484,8190,57,119,62437,25,02025,02025
25265,21296,2084,2209,49107,25,02026,02026
6044,5292,0,188,96053,25,02030,02030
4194,3592,95,47,73270,25,02032,02032
17727,15367,1059,942,48735,25,02035,02035
33256,30130,305,531,51554,25,02038,02038
23652,22720,130,269,59012,25,02043,02043
10455,10043,51,182,47147,25,02045,02045
97,97,0,0,,25,02047,02047
23947,21474,559,970,51247,25,02048,02048
26222,25602,151,551,46905,25,02050,02050
12841,11951,110,258,64912,25,02052,02052
13325,12108,375,340,56219,25,02053,02053
8233,7694,187,188,49872,25,02054,02054
11309,9881,724,802,50512,25,02056,02056
11054,10631,30,256,60177,25,02061,02061
29306,24727,2096,1984,44705,25,02062,02062
18239,17482,124,186,53194,25,02066,02066
18508,14241,490,1005,59871,25,02067,02067
1526,988,258,209,20571,25,02071,02071
28639,20987,4294,1091,35960,25,02072,02072
19904,17831,340,1821,48782,25,02081,02081
16154,13940,113,486,62993,25,02090,02090
11823,11285,339,342,51753,25,02093,02093
4454,3820,189,220,78929,25,02108,02108
4190,3380,208,146,73538,25,02109,02109
2314,2135,22,38,82589,25,02110,02110
7926,3457,315,532,30308,25,02111,02111
6966,6472,39,534,64003,25,02113,02113
13335,10871,616,1356,69350,25,02114,02114
28652,18236,2546,4127,10213,25,02115,02115
23157,17317,1261,1762,63458,25,02116,02116
28262,15392,5393,5105,45017,25,02118,02118
27818,4826,15586,8212,21212,25,02119,02119
15188,6456,3690,3795,16525,25,02120,02120
30159,3710,19844,9775,21119,25,02121,02121
24485,8911,7715,2921,30763,25,02122,02122
56649,14715,33155,10490,27758,25,02124,02124
34847,12255,12579,8177,31547,25,02125,02125
29620,2002,25002,4342,28868,25,02126,02126
37634,30703,2588,4117,63279,25,02127,02127
47263,29492,1451,26707,30193,25,02128,02128
19890,15750,1560,2198,70494,25,02129,02129
40749,26900,5408,8613,50323,25,02130,02130
34419,19908,9630,8653,37438,25,02131,02131
27801,22551,1666,2306,48128,25,02132,02132
19907,11239,1203,2538,36666,25,02134,02134
44951,32318,2384,5691,41844,25,02135,02135
35213,12465,16705,9351,31076,25,02136,02136
38504,27265,2027,3369,41802,25,02138,02138
38715,24721,4939,3522,42668,25,02139,02139
21490,13446,3991,1803,57057,25,02140,02140
14522,9704,1418,2083,49002,25,02141,02141
3676,2103,184,346,63154,25,02142,02142
25327,19416,1077,1937,49902,25,02143,02143
24818,21026,957,1557,54382,25,02144,02144
28402,19280,2776,6269,40565,25,02145,02145
60984,32411,11253,5167,34052,25,02148,02148
46118,26662,8315,13029,31078,25,02149,02149
39983,19344,2561,26794,26977,25,02150,02150
53701,41933,2942,18042,30798,25,02151,02151
18542,17229,403,1767,42508,25,02152,02152
59735,44740,5466,3904,44838,25,02155,02155
2621,1643,148,257,18875,25,02163,02163
56523,36689,3682,2194,39877,25,02169,02169
19848,10451,727,301,38428,25,02170,02170
17836,10441,426,413,44168,25,02171,02171
28113,24786,811,886,53709,25,02176,02176
23223,20985,696,774,50228,25,02180,02180
37220,30013,1103,777,45751,25,02184,02184
27572,20153,4161,882,48183,25,02186,02186
15831,12359,1378,789,41411,25,02188,02188
15296,12947,1381,670,39969,25,02189,02189
17247,14873,341,511,48868,25,02190,02190
8360,7627,89,183,40870,25,02191,02191
1157,785,0,53,84179,25,02199,02199
30,14,0,0,,25,02203,02203
3715,3078,103,76,101860,25,02210,02210
25770,16862,1451,3029,8278,25,02215,02215
63420,20845,31273,6623,28253,25,02301,02301
32174,13682,12309,3978,31604,25,02302,02302
4500,3311,820,190,40216,25,02322,02322
27436,23296,2360,1075,32370,25,02324,02324
11720,11080,64,277,36689,25,02330,02330
15812,15221,121,135,55796,25,02332,02332
14466,13044,559,308,40567,25,02333,02333
7842,7543,182,51,40630,25,02338,02338
14459,14017,143,91,54683,25,02339,02339
10777,10154,30,101,40037,25,02341,02341
10423,8328,1233,724,37431,25,02343,02343
24802,23502,428,598,38495,25,02346,02346
11420,10793,233,316,46341,25,02347,02347
16436,14856,331,430,40339,25,02351,02351
13312,12226,630,309,49140,25,02356,02356
1061,890,64,97,3491,25,02357,02357
18380,17419,118,279,43093,25,02359,02359
59826,55665,1122,1369,41071,25,02360,02360
13566,13132,10,488,41108,25,02364,02364
198,145,21,68,2499,25,02366,02366
2954,2838,83,75,46469,25,02367,02367
34686,10934,15851,3010,34869,25,02368,02368
17953,16876,533,561,40101,25,02370,02370
10248,9139,352,334,43876,25,02375,02375
7198,6904,128,226,41804,25,02379,02379
15056,13926,288,379,40254,25,02382,02382
14718,9245,161,179,82411,25,02420,02420
18622,12023,269,529,77251,25,02421,02421
21074,15473,750,1523,60730,25,02445,02445
29862,21509,721,2123,53883,25,02446,02446
18246,13460,972,1543,49972,25,02451,02451
14909,10606,1555,1225,30674,25,02452,02452
29505,20970,1923,5759,41359,25,02453,02453
1752,1139,140,151,3689,25,02457,02457
12778,9518,529,854,56409,25,02458,02458
19012,14717,507,594,63505,25,02459,02459
