zipcode,state,totalValidRegistrations,ihpReferrals,ihpEligible,ihpAmount,FIP_disaster_count,average_project,approved_rate
73632,OK,4.0,4.0,3.0,28859.91,35,9619.97,0.75
73639,OK,3.0,3.0,2.0,11911.1,31,5955.55,0.6666666666666666
73644,OK,196.0,164.0,80.0,577085.4500000001,74,7213.568125000001,0.40816326530612246
73645,OK,4.0,4.0,3.0,15612.68,27,5204.2266666666665,0.75
73646,OK,11.0,10.0,3.0,1072.62,63,357.53999999999996,0.2727272727272727
73651,OK,119.0,104.0,50.0,284769.55,70,5695.391,0.42016806722689076
73655,OK,7.0,5.0,1.0,6126.14,35,6126.14,0.14285714285714285
73660,OK,2.0,2.0,1.0,4489.56,30,4489.56,0.5
73661,OK,1.0,1.0,1.0,993.05,35,993.05,1.0
73662,OK,26.0,22.0,10.0,63651.42,27,6365.142,0.38461538461538464
73663,OK,8.0,8.0,4.0,30248.37,33,7562.0925,0.5
73666,OK,16.0,14.0,8.0,20880.68,30,2610.085,0.5
73667,OK,1.0,1.0,1.0,9000.0,33,9000.0,1.0
73669,OK,16.0,12.0,5.0,29990.18,31,5998.036,0.3125
73701,OK,162.0,154.0,94.0,471929.66000000003,25,5020.528297872341,0.5802469135802469
73703,OK,44.0,41.0,20.0,70064.84,25,3503.2419999999997,0.45454545454545453
73705,OK,3.0,3.0,2.0,9945.0,25,4972.5,0.6666666666666666
73716,OK,8.0,7.0,5.0,8543.349999999999,30,1708.6699999999996,0.625
73717,OK,50.0,39.0,32.0,112516.35,54,3516.1359375,0.64
73719,OK,2.0,2.0,1.0,2058.0,30,2058.0,0.5
73722,OK,4.0,3.0,3.0,5528.9,30,1842.9666666666665,0.75
73724,OK,2.0,2.0,1.0,144.92,32,144.92,0.5
73728,OK,15.0,12.0,5.0,5188.68,60,1037.736,0.3333333333333333
73729,OK,2.0,1.0,1.0,1304.0,62,1304.0,0.5
73731,OK,2.0,2.0,1.0,917.48,54,917.48,0.5
73734,OK,18.0,15.0,7.0,10583.5,35,1511.9285714285713,0.3888888888888889
73736,OK,2.0,2.0,2.0,18711.28,25,9355.64,1.0
73737,OK,13.0,13.0,8.0,80608.36,32,10076.045,0.6153846153846154
73738,OK,8.0,8.0,5.0,18193.32,25,3638.6639999999998,0.625
