disasterNumber,state,county,city,zipcode,totalValidRegistrations,validCallCenterRegistrations,validWebRegistrations,validMobileRegistrations,ihpReferrals,ihpEligible,ihpAmount,haReferrals,haEligible,haAmount,onaReferrals,onaEligible,onaAmount,id,county_type
4222,OK,Okmulgee,HASKELL,74436,1.0,1,0,0,1.0,0.0,0.0,1,0,0,0,0,0,623ecc48cbab24a500f1aa7a,County)
4222,OK,Okmulgee,MORRIS,74445,10.0,8,2,0,7.0,2.0,12263.570000000002,7,2,10663.57,1,1,1600,623ecc48cbab24a500f1aa7d,County)
4222,OK,Okmulgee,OKEMAH,74859,1.0,0,1,0,0.0,0.0,0.0,0,0,0,0,0,0,623ecc48cbab24a500f1aa7f,County)
4222,OK,Okmulgee,SCHULTER,74460,2.0,2,0,0,2.0,1.0,3095.28,2,1,3095.28,0,0,0,623ecc48cbab24a500f1aa82,County)
4222,OK,Ottawa,FAIRLAND,74343,2.0,2,0,0,2.0,1.0,10386.12,2,1,10386.12,1,0,0,623ecc48cbab24a500f1aa85,County)
4222,OK,Ottawa,WYANDOTTE,74370,2.0,2,0,0,1.0,0.0,0.0,1,0,0,0,0,0,623ecc48cbab24a500f1aa87,County)
4222,OK,Pittsburg,CANADIAN,74425,13.0,10,3,0,10.0,2.0,4426.849999999999,10,2,3226.84,2,1,1200.01,623ecc48cbab24a500f1aa8a,County)
4222,OK,Pittsburg,CROWDER,74430,2.0,1,1,0,2.0,0.0,0.0,2,0,0,0,0,0,623ecc48cbab24a500f1aa8c,County)
4222,OK,Pittsburg,EUFAULA,74432,18.0,14,1,3,17.0,5.0,10924.0,17,5,9947.82,5,1,976.18,623ecc48cbab24a500f1aa8d,County)
4222,OK,Pittsburg,MC ALESTER,74501,1.0,0,1,0,1.0,0.0,0.0,1,0,0,0,0,0,623ecc48cbab24a500f1aa94,County)
4222,OK,Pittsburg,QUINTON,74561,6.0,3,3,0,3.0,0.0,0.0,3,0,0,0,0,0,623ecc48cbab24a500f1aa97,County)
4222,OK,Pittsburg,STIGLER,74462,6.0,6,0,0,3.0,1.0,8132.82,3,1,8132.82,1,0,0,623ecc48cbab24a500f1aa99,County)
4222,OK,Pittsburg,STUART,74570,1.0,1,0,0,1.0,0.0,0.0,1,0,0,0,0,0,623ecc48cbab24a500f1aa9a,County)
4222,OK,Pontotoc,ADA,74820,130.0,101,28,1,105.0,51.0,129131.47,103,47,118769.36,33,9,10362.11,623ecc48cbab24a500f1aa9b,County)
4222,OK,Pottawatomie,MAUD,74854,4.0,0,4,0,3.0,1.0,873.36,3,1,873.36,1,0,0,623ecc48cbab24a500f1aaac,County)
4222,OK,Pottawatomie,PRAGUE,74864,4.0,3,1,0,3.0,1.0,1543.62,3,1,1543.62,1,0,0,623ecc48cbab24a500f1aab0,County)
4222,OK,Pottawatomie,TECUMSEH,74873,147.0,104,36,7,125.0,86.0,226806.32,123,85,215318.87,31,9,11487.45,623ecc48cbab24a500f1aab5,County)
4222,OK,Pushmataha,BROKEN BOW,74728,1.0,1,0,0,0.0,0.0,0.0,0,0,0,0,0,0,623ecc48cbab24a500f1aabb,County)
4222,OK,Pushmataha,NASHOBA,74558,7.0,4,2,1,4.0,0.0,0.0,4,0,0,1,0,0,623ecc48cbab24a500f1aac1,County)
4222,OK,Pushmataha,SNOW,74567,1.0,1,0,0,1.0,0.0,0.0,1,0,0,0,0,0,623ecc48cbab24a500f1aac3,County)
4222,OK,Pushmataha,TUSKAHOMA,74574,7.0,6,1,0,6.0,0.0,0.0,6,0,0,1,0,0,623ecc48cbab24a500f1aac5,County)
4222,OK,Rogers,CATOOSA,74015,4.0,1,3,0,4.0,0.0,0.0,4,0,0,1,0,0,623ecc48cbab24a500f1aac6,County)
